Country,NOC,continent
Qatar,QAT,Asia
Democratic Peoples Republic of Korea,PRK,Asia
Saudi Arabia,KSA,Asia
Singapore,SGP,Asia
Sri Lanka,SRI,Asia
Syrian Arab Republic,SYR,Asia
Tajikistan,TJK,Asia
Chinese Taipei,TPE,Asia
Thailand,THA,Asia
Democratic Rep of Timor Leste,TLS,Asia
Turkmenistan,TKM,Asia
United Arab Emirates,UAE,Asia
Uzbekistan,UZB,Asia
Vietnam,VIE,Asia
Yemen,YEM,Asia
Albania,ALB,Europe
Andorra,AND,Europe
Armenia,ARM,Europe
Austria,AUT,Europe
Azerbaijan,AZE,Europe
Belgium,BEL,Europe
Bosnia and Herzegovina,BIH,Europe
Bulgaria,BUL,Europe
Cyprus,CYP,Europe
Croatia,CRO,Europe
Czechia,CZE,Europe
Denmark,DEN,Europe
Spain,ESP,Europe
Estonia,EST,Europe
Finland,FIN,Europe
France,FRA,Europe
Georgia,GEO,Europe
Germany,GER,Europe
Great Britain,GBR,Europe
Greece,GRE,Europe
Hungary,HUN,Europe
Ireland,IRL,Europe
Iceland,ISL,Europe
Israel,ISR,Europe
Italy,ITA,Europe
Kosovo,KOS,Europe
Latvia,LAT,Europe
Liechtenstein,LIE,Europe
Lithuania,LTU,Europe
Luxembourg,LIE,Europe
North Macedonia,MKD,Europe
Malta,MLT,Europe
Republic of Moldova,MDA,Europe
Monaco,MON,Europe
Montenegro,MNE,Europe
Netherlands,NED,Europe
Norway,NOR,Europe
Poland,POL,Europe
Portugal,POR,Europe
Romania,ROU,Europe
San Marino,SMR,Europe
Serbia,SRB,Europe
Slovakia,SVK,Europe
Slovenia,SLO,Europe
Sweden,SWE,Europe
Switzerland,SUI,Europe
Turkiye,TUR,Europe
Ukraine,UKR,Europe
American Samoa,ASA,Oceania
Australia,AUS,Oceania
Cook Islands,COK,Oceania
Fiji,FIJ,Oceania
Guam,GUM,Oceania
Kiribati,KIR,Oceania
Marshall Islands,MHL,Oceania
Federated States of Micronesia,FSM,Oceania
Nauru,NRU,Oceania
New Zealand,NZL,Oceania
Palau,PLW,Oceania
Papua New Guinea,PNG,Oceania
Solomon Islands,SOL,Oceania
Samoa,SAM,Oceania
Tonga,TGA,Oceania
Tuvalu,TUV,Oceania
Vanuatu,VAN,Oceania
Individual Neutral Athletes,AIN,olympic
 Refugee Olympic Team,EOR,olympic
